Movie Title,Genre_1,Budget_usd,Box Office Revenue_usd,baseline_profit,retention_coefficient
The Hobbit: The Battle of the Five Armies,Adventure,250000000,956000000,706000000,2.87
Batman v Superman: Dawn of Justice,Action,250000000,872700000,622700000,2.62
Dawn of the Planet of the Apes,Action,235000000,710600000,475600000,2.27
The Amazing Spider-Man,Action,230000000,757900000,527900000,2.47
Man of Steel,Action,225000000,668000000,443000000,2.23
Battleship,Action,220000000,303000000,83000000,1.03
Men in Black 3,Comedy,215000000,624000000,409000000,2.18
X-Men: Days of Future Past,Action,200000000,747900000,547900000,2.8
World War Z,Action,190000000,540000000,350000000,2.13
Pacific Rim,Action,190000000,411000000,221000000,1.62
Star Trek Beyond,Action,185000000,243000000,58000000,0.99
The Legend of Tarzan,Action,180000000,352700000,172700000,1.47
Edge of Tomorrow,Action,178000000,370500000,192500000,1.56
X-Men: Apocalypse,Action,178000000,544600000,366600000,2.29
Suicide Squad,Action,175000000,636700000,461700000,2.73
Captain America: The Winter Soldier,Action,170000000,714400000,544400000,3.15
Snow White and the Huntsman,Action,170000000,396600000,226600000,1.75
Interstellar,Sci-Fi,165000000,675100000,510100000,3.07
Independence Day: Resurgence,Action,165000000,382300000,217300000,1.74
Warcraft,Action,160000000,433500000,273500000,2.03
Godzilla,Action,160000000,529000000,369000000,2.48
The Hunger Games: Mockingjay – Part 2,Sci-Fi,160000000,653400000,493400000,3.06
Fast & Furious 6,Action,160000000,788700000,628700000,3.7
Terminator Genisys,Sci-Fi,155000000,440600000,285600000,2.13
Wrath of the Titans,Action,150000000,305300000,155300000,1.53
Mission: Impossible – Rogue Nation,Action,150000000,682300000,532300000,3.41
Mad Max: Fury Road,Action,150000000,378400000,228400000,1.89
Pan,Fantasy,150000000,128400000,-21600000,0.64
Dark Shadows,Comedy,150000000,245500000,95500000,1.23
White House Down,Action,150000000,205000000,55000000,1.02
Mr. Peabody & Sherman,Family,145000000,275700000,130700000,1.43
How to Train Your Dragon 2,Family,145000000,621500000,476500000,3.21
Madagascar 3: Europe's Most Wanted,Comedy,145000000,746900000,601900000,3.86
Rise of the Guardians,Adventure,145000000,306900000,161900000,1.59
Kung Fu Panda 3,Action,145000000,519900000,374900000,2.69
Ghostbusters,Comedy,144000000,217500000,73500000,1.13
Gods of Egypt,Action,140000000,145700000,5700000,0.78
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,135000000,242500000,107500000,1.35
The Revenant,Thriller,135000000,533000000,398000000,2.96
The Croods,Adventure,135000000,587200000,452200000,3.26
Home,Animation,135000000,386000000,251000000,2.14
Penguins of Madagascar,Family,132000000,373000000,241000000,2.12
R.I.P.D.,Action,130000000,78300000,-51700000,0.45
After Earth,Sci-Fi,130000000,243800000,113800000,1.41
G.I. Joe: Retaliation,Action,130000000,375700000,245700000,2.17
Prometheus,Sci-Fi,130000000,403400000,273400000,2.33
Ant-Man,Action,130000000,519400000,389400000,3
Pixels,Comedy,129000000,244900000,115900000,1.42
Cloud Atlas,Drama,128500000,130500000,2000000,0.76
Night at the Museum: Secret of the Tomb,Comedy,127000000,363200000,236200000,2.14
Turbo,Comedy,127000000,282600000,155600000,1.67
Teenage Mutant Ninja Turtles,Action,125000000,493300000,368300000,2.96
Noah,Adventure,125000000,362600000,237600000,2.18
The Hunger Games: Mockingjay – Part 1,Sci-Fi,125000000,755400000,630400000,4.53
The Bourne Legacy,Action,125000000,276100000,151100000,1.66
Total Recall,Action,125000000,198500000,73500000,1.19
Oblivion,Action,120000000,286200000,166200000,1.79
Fantastic Four,Action,120000000,168000000,48000000,1.05
Life of Pi,Drama,120000000,609000000,489000000,3.81
Jason Bourne,Action,120000000,347900000,227900000,2.17
The Wolverine,Action,120000000,414800000,294800000,2.59
The Twilight Saga: Breaking Dawn – Part 2,Fantasy,120000000,829700000,709700000,5.19
Elysium,Sci-Fi,115000000,286100000,171100000,1.87
The Huntsman: Winter's War,Fantasy,115000000,164600000,49600000,1.07
300: Rise of an Empire,Action,110000000,337600000,227600000,2.3
The Divergent Series: Insurgent,Sci-Fi,110000000,297300000,187300000,2.03
The Divergent Series: Allegiant,Adventure,110000000,179200000,69200000,1.22
